date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-12-08,SKU004,229,0,10,100
2024-12-15,SKU004,158,0,10,100
2024-12-22,SKU004,108,0,10,100
2024-12-29,SKU004,47,97,10,100
2025-01-05,SKU004,98,0,10,100
2025-01-12,SKU004,268,0,10,100
2025-01-19,SKU004,224,0,10,100
2025-01-26,SKU004,183,0,10,100
2025-02-02,SKU004,141,0,10,100
2025-02-09,SKU004,92,149,10,100
2025-02-16,SKU004,256,0,10,100
2025-02-23,SKU004,216,0,10,100
2025-03-02,SKU004,167,0,10,100
2025-03-09,SKU004,113,0,10,100
2025-03-16,SKU004,57,184,10,100
2025-03-23,SKU004,167,0,10,100
2025-03-30,SKU004,119,0,10,100
2025-04-06,SKU004,79,89,10,100
2025-04-13,SKU004,130,0,10,100
2025-04-20,SKU004,80,116,10,100
2025-04-27,SKU004,32,140,10,100
2025-05-04,SKU004,0,182,10,100
2025-05-11,SKU004,0,104,10,100
2025-05-18,SKU004,0,109,10,100
2025-05-25,SKU004,122,0,10,100
2025-06-01,SKU004,199,0,10,100
2025-06-08,SKU004,142,0,10,100
2025-06-15,SKU004,72,101,10,100
2025-06-22,SKU004,199,0,10,100
2025-06-29,SKU004,162,0,10,100
2025-07-06,SKU004,122,0,10,100
2025-07-13,SKU004,78,119,10,100
2025-07-20,SKU004,164,0,10,100
2025-07-27,SKU004,112,0,10,100
2025-08-03,SKU004,60,144,10,100
2025-08-10,SKU004,0,179,10,100
2025-08-17,SKU004,178,0,10,100
2025-08-24,SKU004,121,0,10,100
2025-08-31,SKU004,80,169,10,100
2025-09-07,SKU004,182,0,10,100
2025-09-14,SKU004,132,0,10,100
2025-09-21,SKU004,74,203,10,100
2025-09-28,SKU004,218,0,10,100
2025-10-05,SKU004,151,0,10,100
2025-10-12,SKU004,292,0,10,100
2025-10-19,SKU004,237,0,10,100
2025-10-26,SKU004,137,0,10,100
2025-11-02,SKU004,43,140,10,100
2025-11-09,SKU004,197,0,10,100
2025-11-16,SKU004,144,0,10,100
2025-11-23,SKU004,203,0,10,100
2025-11-30,SKU004,114,0,10,100
2025-12-07,SKU004,25,129,10,100
2025-12-14,SKU004,114,0,10,100
2025-12-21,SKU004,229,0,10,100
2025-12-28,SKU004,175,0,10,100
2024-01-07,SKU005,163,0,6,58
2024-01-14,SKU005,108,0,6,58
2024-01-21,SKU005,52,115,6,58
2024-01-28,SKU005,2,204,6,58
2024-02-04,SKU005,141,0,6,58
2024-02-11,SKU005,83,0,6,58
2024-02-18,SKU005,191,0,6,58
2024-02-25,SKU005,133,0,6,58
2024-03-03,SKU005,70,0,6,58
2024-03-10,SKU005,189,0,6,58
2024-03-17,SKU005,124,0,6,58
2024-03-24,SKU005,62,0,6,58
2024-03-31,SKU005,0,195,6,58
2024-04-07,SKU005,0,143,6,58
2024-04-14,SKU005,202,0,6,58
2024-04-21,SKU005,140,0,6,58
2024-04-28,SKU005,88,0,6,58
2024-05-05,SKU005,129,0,6,58
2024-05-12,SKU005,72,0,6,58
2024-05-19,SKU005,149,0,6,58
2024-05-26,SKU005,94,0,6,58
2024-06-02,SKU005,139,0,6,58
2024-06-09,SKU005,81,0,6,58
2024-06-16,SKU005,19,166,6,58
2024-06-23,SKU005,0,110,6,58
2024-06-30,SKU005,139,0,6,58
2024-07-07,SKU005,78,0,6,58
2024-07-14,SKU005,168,0,6,58
2024-07-21,SKU005,105,0,6,58
2024-07-28,SKU005,50,201,6,58
2024-08-04,SKU005,100,0,6,58
2024-08-11,SKU005,243,0,6,58
2024-08-18,SKU005,178,0,6,58
2024-08-25,SKU005,121,0,6,58
2024-09-01,SKU005,65,0,6,58
2024-09-08,SKU005,158,0,6,58
2024-09-15,SKU005,107,0,6,58
2024-09-22,SKU005,196,0,6,58
2024-09-29,SKU005,144,0,6,58
2024-10-06,SKU005,94,0,6,58
2024-10-13,SKU005,41,190,6,58
2024-10-20,SKU005,124,0,6,58
2024-10-27,SKU005,76,0,6,58
2024-11-03,SKU005,20,119,6,58
2024-11-10,SKU005,202,0,6,58
2024-11-17,SKU005,148,0,6,58
2024-11-24,SKU005,61,0,6,58
2024-12-01,SKU005,177,0,6,58
2024-12-08,SKU005,111,0,6,58
2024-12-15,SKU005,63,0,6,58
2024-12-22,SKU005,106,0,6,58
2024-12-29,SKU005,51,160,6,58
2025-01-05,SKU005,0,200,6,58
2025-01-12,SKU005,132,0,6,58
2025-01-19,SKU005,78,0,6,58
2025-01-26,SKU005,27,127,6,58
2025-02-02,SKU005,132,0,6,58
2025-02-09,SKU005,91,0,6,58
2025-02-16,SKU005,34,148,6,58
2025-02-23,SKU005,0,198,6,58
2025-03-02,SKU005,0,208,6,58
2025-03-09,SKU005,171,0,6,58
2025-03-16,SKU005,112,0,6,58
2025-03-23,SKU005,229,0,6,58
2025-03-30,SKU005,154,0,6,58
2025-04-06,SKU005,111,0,6,58
2025-04-13,SKU005,67,0,6,58
2025-04-20,SKU005,27,126,6,58
2025-04-27,SKU005,113,0,6,58
2025-05-04,SKU005,60,0,6,58
2025-05-11,SKU005,187,0,6,58
2025-05-18,SKU005,137,0,6,58
2025-05-25,SKU005,91,0,6,58
2025-06-01,SKU005,241,0,6,58
2025-06-08,SKU005,196,0,6,58
2025-06-15,SKU005,140,0,6,58
2025-06-22,SKU005,80,0,6,58
2025-06-29,SKU005,37,124,6,58
2025-07-06,SKU005,0,98,6,58
2025-07-13,SKU005,193,0,6,58
2025-07-20,SKU005,150,0,6,58
2025-07-27,SKU005,100,0,6,58
2025-08-03,SKU005,212,0,6,58
2025-08-10,SKU005,162,0,6,58
2025-08-17,SKU005,78,0,6,58
2025-08-24,SKU005,155,0,6,58
2025-08-31,SKU005,103,0,6,58
2025-09-07,SKU005,64,0,6,58
2025-09-14,SKU005,184,0,6,58
2025-09-21,SKU005,128,0,6,58
2025-09-28,SKU005,76,0,6,58
2025-10-05,SKU005,23,173,6,58
2025-10-12,SKU005,0,211,6,58
2025-10-19,SKU005,0,119,6,58
2025-10-26,SKU005,186,0,6,58
2025-11-02,SKU005,84,0,6,58
2025-11-09,SKU005,17,144,6,58
2025-11-16,SKU005,138,0,6,58
2025-11-23,SKU005,54,110,6,58
2025-11-30,SKU005,0,188,6,58
2025-12-07,SKU005,0,197,6,58
2025-12-14,SKU005,111,0,6,58
2025-12-21,SKU005,245,0,6,58
2025-12-28,SKU005,171,0,6,58
2024-01-07,SKU006,137,0,12,77
2024-01-14,SKU006,92,0,12,77
2024-01-21,SKU006,57,150,12,77
2024-01-28,SKU006,139,0,12,77
2024-02-04,SKU006,98,0,12,77
2024-02-11,SKU006,194,0,12,77
2024-02-18,SKU006,152,0,12,77
2024-02-25,SKU006,116,0,12,77
2024-03-03,SKU006,93,0,12,77
2024-03-10,SKU006,132,0,12,77
2024-03-17,SKU006,83,0,12,77
2024-03-24,SKU006,38,124,12,77
2024-03-31,SKU006,134,0,12,77
2024-04-07,SKU006,111,0,12,77
2024-04-14,SKU006,80,0,12,77
2024-04-21,SKU006,189,0,12,77
2024-04-28,SKU006,149,0,12,77
2024-05-05,SKU006,117,0,12,77
2024-05-12,SKU006,89,0,12,77
2024-05-19,SKU006,146,0,12,77
2024-05-26,SKU006,112,0,12,77
2024-06-02,SKU006,194,0,12,77
2024-06-09,SKU006,166,0,12,77
2024-06-16,SKU006,129,0,12,77
2024-06-23,SKU006,87,0,12,77
2024-06-30,SKU006,56,66,12,77
2024-07-07,SKU006,166,0,12,77
2024-07-14,SKU006,135,0,12,77
2024-07-21,SKU006,102,0,12,77
2024-07-28,SKU006,76,151,12,77
2024-08-04,SKU006,162,0,12,77
2024-08-11,SKU006,128,0,12,77
2024-08-18,SKU006,174,0,12,77
2024-08-25,SKU006,138,0,12,77
2024-09-01,SKU006,110,0,12,77
2024-09-08,SKU006,85,0,12,77
2024-09-15,SKU006,108,0,12,77
2024-09-22,SKU006,79,0,12,77
2024-09-29,SKU006,110,0,12,77
2024-10-06,SKU006,161,0,12,77
2024-10-13,SKU006,113,0,12,77
2024-10-20,SKU006,72,73,12,77
2024-10-27,SKU006,72,0,12,77
2024-11-03,SKU006,128,0,12,77
2024-11-10,SKU006,85,0,12,77
2024-11-17,SKU006,45,113,12,77
2024-11-24,SKU006,136,0,12,77
2024-12-01,SKU006,75,118,12,77
2024-12-08,SKU006,20,119,12,77
2024-12-15,SKU006,0,127,12,77
2024-12-22,SKU006,0,143,12,77
2024-12-29,SKU006,0,85,12,77
2025-01-05,SKU006,0,103,12,77
2025-01-12,SKU006,73,0,12,77
2025-01-19,SKU006,35,145,12,77
2025-01-26,SKU006,111,0,12,77
2025-02-02,SKU006,153,0,12,77
2025-02-09,SKU006,118,0,12,77
2025-02-16,SKU006,85,0,12,77
2025-02-23,SKU006,152,0,12,77
2025-03-02,SKU006,119,0,12,77
2025-03-09,SKU006,87,0,12,77
2025-03-16,SKU006,118,0,12,77
2025-03-23,SKU006,63,108,12,77
2025-03-30,SKU006,13,122,12,77
2025-04-06,SKU006,76,0,12,77
2025-04-13,SKU006,118,0,12,77
2025-04-20,SKU006,78,0,12,77
2025-04-27,SKU006,47,73,12,77
2025-05-04,SKU006,102,0,12,77
2025-05-11,SKU006,187,0,12,77
2025-05-18,SKU006,155,0,12,77
2025-05-25,SKU006,117,0,12,77
2025-06-01,SKU006,88,0,12,77
2025-06-08,SKU006,58,88,12,77
2025-06-15,SKU006,10,99,12,77
2025-06-22,SKU006,0,80,12,77
2025-06-29,SKU006,0,111,12,77
2025-07-06,SKU006,150,0,12,77
2025-07-13,SKU006,114,0,12,77
2025-07-20,SKU006,153,0,12,77
2025-07-27,SKU006,117,0,12,77
2025-08-03,SKU006,86,0,12,77
2025-08-10,SKU006,171,0,12,77
2025-08-17,SKU006,115,0,12,77
2025-08-24,SKU006,70,154,12,77
2025-08-31,SKU006,27,89,12,77
2025-09-07,SKU006,115,0,12,77
2025-09-14,SKU006,72,112,12,77
2025-09-21,SKU006,32,145,12,77
2025-09-28,SKU006,109,0,12,77
2025-10-05,SKU006,67,132,12,77
2025-10-12,SKU006,122,0,12,77
2025-10-19,SKU006,82,0,12,77
2025-10-26,SKU006,161,0,12,77
2025-11-02,SKU006,93,0,12,77
2025-11-09,SKU006,37,128,12,77
2025-11-16,SKU006,91,0,12,77
2025-11-23,SKU006,16,78,12,77
2025-11-30,SKU006,82,0,12,77
2025-12-07,SKU006,7,139,12,77
2025-12-14,SKU006,0,63,12,77
2025-12-21,SKU006,0,76,12,77
2025-12-28,SKU006,89,0,12,77
2024-01-07,SKU007,161,0,8,72
2024-01-14,SKU007,115,0,8,72
2024-01-21,SKU007,64,167,8,72
2024-01-28,SKU007,147,0,8,72
2024-02-04,SKU007,95,0,8,72
2024-02-11,SKU007,175,0,8,72
2024-02-18,SKU007,130,0,8,72
2024-02-25,SKU007,82,0,8,72
2024-03-03,SKU007,38,164,8,72
2024-03-10,SKU007,114,0,8,72
2024-03-17,SKU007,175,0,8,72
2024-03-24,SKU007,130,0,8,72
2024-03-31,SKU007,83,0,8,72
2024-04-07,SKU007,212,0,8,72
2024-04-14,SKU007,170,0,8,72
2024-04-21,SKU007,131,0,8,72
2024-04-28,SKU007,81,0,8,72
2024-05-05,SKU007,132,0,8,72
2024-05-12,SKU007,87,0,8,72
2024-05-19,SKU007,43,113,8,72
2024-05-26,SKU007,108,0,8,72
2024-06-02,SKU007,184,0,8,72
2024-06-09,SKU007,143,0,8,72
2024-06-16,SKU007,104,0,8,72
2024-06-23,SKU007,64,115,8,72
2024-06-30,SKU007,19,143,8,72
2024-07-07,SKU007,71,0,8,72
2024-07-14,SKU007,29,158,8,72
2024-07-21,SKU007,146,0,8,72
2024-07-28,SKU007,101,0,8,72
2024-08-04,SKU007,49,86,8,72
2024-08-11,SKU007,158,0,8,72
2024-08-18,SKU007,107,0,8,72
2024-08-25,SKU007,231,0,8,72
2024-09-01,SKU007,184,0,8,72
2024-09-08,SKU007,143,0,8,72
2024-09-15,SKU007,99,0,8,72
2024-09-22,SKU007,49,100,8,72
2024-09-29,SKU007,32,92,8,72
2024-10-06,SKU007,125,0,8,72
2024-10-13,SKU007,80,0,8,72
2024-10-20,SKU007,32,75,8,72
2024-10-27,SKU007,0,94,8,72
2024-11-03,SKU007,135,0,8,72
2024-11-10,SKU007,82,0,8,72
2024-11-17,SKU007,16,109,8,72
2024-11-24,SKU007,115,0,8,72
2024-12-01,SKU007,47,71,8,72
2024-12-08,SKU007,117,0,8,72
2024-12-15,SKU007,68,85,8,72
2024-12-22,SKU007,27,163,8,72
2024-12-29,SKU007,146,0,8,72
2025-01-05,SKU007,104,0,8,72
2025-01-12,SKU007,71,127,8,72
2025-01-19,SKU007,149,0,8,72
2025-01-26,SKU007,112,0,8,72
2025-02-02,SKU007,78,0,8,72
2025-02-09,SKU007,195,0,8,72
2025-02-16,SKU007,156,0,8,72
2025-02-23,SKU007,117,0,8,72
2025-03-02,SKU007,78,0,8,72
2025-03-09,SKU007,202,0,8,72
2025-03-16,SKU007,158,0,8,72
2025-03-23,SKU007,114,0,8,72
2025-03-30,SKU007,75,0,8,72
2025-04-06,SKU007,37,108,8,72
2025-04-13,SKU007,5,112,8,72
2025-04-20,SKU007,118,0,8,72
2025-04-27,SKU007,83,0,8,72
2025-05-04,SKU007,151,0,8,72
2025-05-11,SKU007,117,0,8,72
2025-05-18,SKU007,85,0,8,72
